batchnum,loss,cer,time
batch 0, ctc loss: 6.276773, cer: 0.963435, time/batch:   0.099
batch 100, ctc loss: 2.944592, cer: 0.814329, time/batch:   0.749
batch 200, ctc loss: 2.540213, cer: 0.651645, time/batch:   0.813
batch 300, ctc loss: 2.174554, cer: 0.597086, time/batch:   0.852
batch 400, ctc loss: 1.959874, cer: 0.563245, time/batch:   0.863
batch 500, ctc loss: 1.783767, cer: 0.531014, time/batch:   0.856
batch 600, ctc loss: 1.654911, cer: 0.513805, time/batch:   0.850
batch 700, ctc loss: 1.545626, cer: 0.495357, time/batch:   0.862
batch 800, ctc loss: 1.458589, cer: 0.484421, time/batch:   0.849
batch 900, ctc loss: 1.385644, cer: 0.472865, time/batch:   0.859
batch 1000, ctc loss: 1.322812, cer: 0.467005, time/batch:   0.850
batch 1100, ctc loss: 1.274259, cer: 0.458710, time/batch:   0.831
batch 1200, ctc loss: 1.226887, cer: 0.456358, time/batch:   0.844
batch 1300, ctc loss: 1.193571, cer: 0.448723, time/batch:   0.847
batch 1400, ctc loss: 1.157813, cer: 0.446618, time/batch:   0.842
batch 1500, ctc loss: 1.125295, cer: 0.448805, time/batch:   0.835
batch 1600, ctc loss: 1.104963, cer: 0.444637, time/batch:   0.845
batch 1700, ctc loss: 1.087831, cer: 0.441418, time/batch:   0.856
batch 1800, ctc loss: 1.063235, cer: 0.438364, time/batch:   0.835
batch 1900, ctc loss: 1.053580, cer: 0.429739, time/batch:   0.864
batch 2000, ctc loss: 1.028450, cer: 0.422434, time/batch:   0.863
batch 2100, ctc loss: 1.017824, cer: 0.419752, time/batch:   0.855
batch 2200, ctc loss: 1.007281, cer: 0.412612, time/batch:   0.869
batch 2300, ctc loss: 0.994164, cer: 0.410053, time/batch:   0.866
batch 2400, ctc loss: 0.986821, cer: 0.404276, time/batch:   0.847
batch 2500, ctc loss: 0.972036, cer: 0.408196, time/batch:   0.857
batch 2600, ctc loss: 0.972621, cer: 0.400520, time/batch:   0.851
batch 2700, ctc loss: 0.961979, cer: 0.390657, time/batch:   0.843
batch 2800, ctc loss: 0.967708, cer: 0.391399, time/batch:   0.842
batch 2900, ctc loss: 0.950686, cer: 0.390038, time/batch:   0.850
batch 3000, ctc loss: 0.945918, cer: 0.387025, time/batch:   0.845
batch 3100, ctc loss: 0.949582, cer: 0.387974, time/batch:   0.841
batch 3200, ctc loss: 0.941308, cer: 0.386901, time/batch:   0.837
batch 3300, ctc loss: 0.930082, cer: 0.386612, time/batch:   0.858
batch 3400, ctc loss: 0.929937, cer: 0.375511, time/batch:   0.862
batch 3500, ctc loss: 0.934942, cer: 0.384755, time/batch:   0.829
batch 3600, ctc loss: 0.941487, cer: 0.376955, time/batch:   0.858
batch 3700, ctc loss: 0.938325, cer: 0.379431, time/batch:   0.824
batch 3800, ctc loss: 0.935957, cer: 0.370311, time/batch:   0.824
batch 3900, ctc loss: 0.938984, cer: 0.373901, time/batch:   0.835
batch 4000, ctc loss: 0.936411, cer: 0.374603, time/batch:   0.845
batch 4100, ctc loss: 0.933979, cer: 0.375758, time/batch:   0.855
batch 4200, ctc loss: 0.937053, cer: 0.372168, time/batch:   0.843
batch 4300, ctc loss: 0.923939, cer: 0.366885, time/batch:   0.856
batch 4400, ctc loss: 0.925166, cer: 0.369527, time/batch:   0.857
batch 4500, ctc loss: 0.928362, cer: 0.364533, time/batch:   0.836
batch 4600, ctc loss: 0.929432, cer: 0.362263, time/batch:   0.846
batch 4700, ctc loss: 0.926333, cer: 0.367587, time/batch:   0.868
batch 4800, ctc loss: 0.933910, cer: 0.363171, time/batch:   0.837
batch 4900, ctc loss: 0.918235, cer: 0.360819, time/batch:   0.851
batch 5000, ctc loss: 0.915279, cer: 0.364162, time/batch:   0.850
batch 5100, ctc loss: 0.925299, cer: 0.367958, time/batch:   0.842
batch 5200, ctc loss: 0.933704, cer: 0.358219, time/batch:   0.842
batch 5300, ctc loss: 0.925615, cer: 0.359127, time/batch:   0.831
batch 5400, ctc loss: 0.934959, cer: 0.361644, time/batch:   0.839
batch 5500, ctc loss: 0.927071, cer: 0.358549, time/batch:   0.852
batch 5600, ctc loss: 0.935152, cer: 0.360406, time/batch:   0.849
batch 5700, ctc loss: 0.943897, cer: 0.351905, time/batch:   0.835
batch 5800, ctc loss: 0.945133, cer: 0.353432, time/batch:   0.842
batch 5900, ctc loss: 0.936414, cer: 0.354546, time/batch:   0.837
batch 6000, ctc loss: 0.933569, cer: 0.360076, time/batch:   0.867
batch 6100, ctc loss: 0.949317, cer: 0.351657, time/batch:   0.847
batch 6200, ctc loss: 0.942578, cer: 0.353803, time/batch:   0.843
batch 6300, ctc loss: 0.943171, cer: 0.350667, time/batch:   0.843
batch 6400, ctc loss: 0.947952, cer: 0.355495, time/batch:   0.838
batch 6500, ctc loss: 0.942220, cer: 0.353803, time/batch:   0.846
batch 6600, ctc loss: 0.932515, cer: 0.350749, time/batch:   0.850
batch 6700, ctc loss: 0.952148, cer: 0.347489, time/batch:   0.840
batch 6800, ctc loss: 0.947077, cer: 0.349140, time/batch:   0.836
batch 6900, ctc loss: 0.947541, cer: 0.345508, time/batch:   0.836
batch 7000, ctc loss: 0.950349, cer: 0.349552, time/batch:   0.841
batch 7100, ctc loss: 0.946694, cer: 0.349924, time/batch:   0.849
batch 7200, ctc loss: 0.949867, cer: 0.348809, time/batch:   0.851
batch 7300, ctc loss: 0.957308, cer: 0.350667, time/batch:   0.840
batch 7400, ctc loss: 0.959608, cer: 0.351946, time/batch:   0.853
batch 7500, ctc loss: 0.967651, cer: 0.344105, time/batch:   0.841
batch 7600, ctc loss: 0.958510, cer: 0.345054, time/batch:   0.847
batch 7700, ctc loss: 0.969867, cer: 0.348562, time/batch:   0.845
batch 7800, ctc loss: 0.962845, cer: 0.346416, time/batch:   0.856
batch 7900, ctc loss: 0.966799, cer: 0.341422, time/batch:   0.848
batch 8000, ctc loss: 0.974324, cer: 0.340019, time/batch:   0.850
batch 8100, ctc loss: 0.985044, cer: 0.342330, time/batch:   0.844
batch 8200, ctc loss: 0.979364, cer: 0.344394, time/batch:   0.866
batch 8300, ctc loss: 0.975037, cer: 0.342619, time/batch:   0.836
batch 8400, ctc loss: 0.981609, cer: 0.340927, time/batch:   0.846
batch 8500, ctc loss: 0.984502, cer: 0.340762, time/batch:   0.843
batch 8600, ctc loss: 0.983441, cer: 0.335975, time/batch:   0.840
batch 8700, ctc loss: 0.991999, cer: 0.339029, time/batch:   0.849
batch 8800, ctc loss: 0.991680, cer: 0.340432, time/batch:   0.832
batch 8900, ctc loss: 0.984550, cer: 0.345260, time/batch:   0.854
batch 9000, ctc loss: 1.002996, cer: 0.340102, time/batch:   0.839
batch 9100, ctc loss: 0.988169, cer: 0.344022, time/batch:   0.833
batch 9200, ctc loss: 0.995868, cer: 0.339111, time/batch:   0.827
batch 9300, ctc loss: 1.009042, cer: 0.339730, time/batch:   0.845
batch 9400, ctc loss: 0.999468, cer: 0.335397, time/batch:   0.847
batch 9500, ctc loss: 1.006107, cer: 0.341876, time/batch:   0.846
batch 9600, ctc loss: 1.005080, cer: 0.341257, time/batch:   0.845
batch 9700, ctc loss: 1.017950, cer: 0.334571, time/batch:   0.839
batch 9800, ctc loss: 1.028235, cer: 0.337584, time/batch:   0.845
batch 9900, ctc loss: 1.016637, cer: 0.340721, time/batch:   0.847
batch 10000, ctc loss: 1.000789, cer: 0.335851, time/batch:   0.860
batch 10100, ctc loss: 1.004180, cer: 0.340638, time/batch:   0.844
batch 10200, ctc loss: 1.021212, cer: 0.334902, time/batch:   0.853
batch 10300, ctc loss: 1.032863, cer: 0.340803, time/batch:   0.868
batch 10400, ctc loss: 1.027631, cer: 0.337914, time/batch:   0.847
batch 10500, ctc loss: 1.035787, cer: 0.335397, time/batch:   0.836
batch 10600, ctc loss: 1.044202, cer: 0.339482, time/batch:   0.829
batch 10700, ctc loss: 1.039303, cer: 0.340184, time/batch:   0.845
batch 10800, ctc loss: 1.045476, cer: 0.334736, time/batch:   0.864
batch 10900, ctc loss: 1.032036, cer: 0.338905, time/batch:   0.829
batch 11000, ctc loss: 1.035033, cer: 0.334324, time/batch:   0.853
batch 11100, ctc loss: 1.035517, cer: 0.333540, time/batch:   0.840
batch 11200, ctc loss: 1.041340, cer: 0.335644, time/batch:   0.848
batch 11300, ctc loss: 1.063636, cer: 0.338533, time/batch:   0.843
batch 11400, ctc loss: 1.041940, cer: 0.338038, time/batch:   0.854
batch 11500, ctc loss: 1.049900, cer: 0.336759, time/batch:   0.844
batch 11600, ctc loss: 1.047933, cer: 0.335810, time/batch:   0.851
batch 11700, ctc loss: 1.055197, cer: 0.336717, time/batch:   0.873
batch 11800, ctc loss: 1.043140, cer: 0.339194, time/batch:   0.859
batch 11900, ctc loss: 1.053064, cer: 0.333416, time/batch:   0.833
batch 12000, ctc loss: 1.058748, cer: 0.334200, time/batch:   0.880
batch 12100, ctc loss: 1.062942, cer: 0.337790, time/batch:   0.852
batch 12200, ctc loss: 1.066283, cer: 0.335190, time/batch:   0.848
batch 12300, ctc loss: 1.066899, cer: 0.333457, time/batch:   0.850
batch 12400, ctc loss: 1.064617, cer: 0.334035, time/batch:   0.851
batch 12500, ctc loss: 1.056858, cer: 0.334984, time/batch:   0.844
batch 12600, ctc loss: 1.071946, cer: 0.328670, time/batch:   0.844
batch 12700, ctc loss: 1.054786, cer: 0.332879, time/batch:   0.857
batch 12800, ctc loss: 1.064624, cer: 0.334365, time/batch:   0.834
batch 12900, ctc loss: 1.076570, cer: 0.330857, time/batch:   0.856
batch 13000, ctc loss: 1.063335, cer: 0.334819, time/batch:   0.841
batch 13100, ctc loss: 1.076412, cer: 0.329743, time/batch:   0.845
batch 13200, ctc loss: 1.090606, cer: 0.332425, time/batch:   0.836
batch 13300, ctc loss: 1.073541, cer: 0.332054, time/batch:   0.845
batch 13400, ctc loss: 1.078911, cer: 0.327721, time/batch:   0.840
batch 13500, ctc loss: 1.089027, cer: 0.327721, time/batch:   0.835
batch 13600, ctc loss: 1.088607, cer: 0.331476, time/batch:   0.833
batch 13700, ctc loss: 1.079391, cer: 0.333746, time/batch:   0.837
batch 13800, ctc loss: 1.086161, cer: 0.332260, time/batch:   0.847
batch 13900, ctc loss: 1.097586, cer: 0.328257, time/batch:   0.865
batch 14000, ctc loss: 1.102151, cer: 0.332549, time/batch:   0.836
batch 14100, ctc loss: 1.102366, cer: 0.332178, time/batch:   0.865
batch 14200, ctc loss: 1.114765, cer: 0.324708, time/batch:   0.831
batch 14300, ctc loss: 1.104297, cer: 0.330403, time/batch:   0.844
batch 14400, ctc loss: 1.103894, cer: 0.329330, time/batch:   0.854
batch 14500, ctc loss: 1.088657, cer: 0.328051, time/batch:   0.859
batch 14600, ctc loss: 1.108436, cer: 0.323387, time/batch:   0.849
batch 14700, ctc loss: 1.114536, cer: 0.331229, time/batch:   0.869
batch 14800, ctc loss: 1.119785, cer: 0.326070, time/batch:   0.840
batch 14900, ctc loss: 1.105161, cer: 0.328464, time/batch:   0.849
batch 15000, ctc loss: 1.107652, cer: 0.327844, time/batch:   0.857
batch 15100, ctc loss: 1.119219, cer: 0.326524, time/batch:   0.837
batch 15200, ctc loss: 1.108222, cer: 0.335686, time/batch:   0.825
batch 15300, ctc loss: 1.111603, cer: 0.328175, time/batch:   0.838
batch 15400, ctc loss: 1.115334, cer: 0.323099, time/batch:   0.855
batch 15500, ctc loss: 1.122328, cer: 0.327019, time/batch:   0.851
batch 15600, ctc loss: 1.114033, cer: 0.326359, time/batch:   0.832
batch 15700, ctc loss: 1.123253, cer: 0.328670, time/batch:   0.831
batch 15800, ctc loss: 1.123912, cer: 0.326524, time/batch:   0.824
batch 15900, ctc loss: 1.125317, cer: 0.325245, time/batch:   0.831
batch 16000, ctc loss: 1.122748, cer: 0.328587, time/batch:   0.847
batch 16100, ctc loss: 1.138117, cer: 0.322975, time/batch:   0.838
batch 16200, ctc loss: 1.131998, cer: 0.322851, time/batch:   0.856
batch 16300, ctc loss: 1.128158, cer: 0.323718, time/batch:   0.857
batch 16400, ctc loss: 1.136945, cer: 0.326648, time/batch:   0.847
batch 16500, ctc loss: 1.150098, cer: 0.323676, time/batch:   0.849
batch 16600, ctc loss: 1.132919, cer: 0.330073, time/batch:   0.836
batch 16700, ctc loss: 1.136746, cer: 0.324130, time/batch:   0.854
batch 16800, ctc loss: 1.129863, cer: 0.328092, time/batch:   0.845
batch 16900, ctc loss: 1.126711, cer: 0.331724, time/batch:   0.849
batch 17000, ctc loss: 1.130743, cer: 0.328422, time/batch:   0.836
batch 17100, ctc loss: 1.148830, cer: 0.327308, time/batch:   0.835
batch 17200, ctc loss: 1.144925, cer: 0.328381, time/batch:   0.844
batch 17300, ctc loss: 1.141326, cer: 0.326606, time/batch:   0.848
batch 17400, ctc loss: 1.133539, cer: 0.324584, time/batch:   0.853
batch 17500, ctc loss: 1.132056, cer: 0.324667, time/batch:   0.832
batch 17600, ctc loss: 1.147482, cer: 0.324172, time/batch:   0.847
batch 17700, ctc loss: 1.132740, cer: 0.322892, time/batch:   0.839
batch 17800, ctc loss: 1.140686, cer: 0.327184, time/batch:   0.839
batch 17900, ctc loss: 1.156323, cer: 0.327803, time/batch:   0.834
batch 18000, ctc loss: 1.144876, cer: 0.326359, time/batch:   0.849
batch 18100, ctc loss: 1.172451, cer: 0.324337, time/batch:   0.845
batch 18200, ctc loss: 1.175195, cer: 0.326070, time/batch:   0.840
batch 18300, ctc loss: 1.161069, cer: 0.326689, time/batch:   0.839
batch 18400, ctc loss: 1.162071, cer: 0.323016, time/batch:   0.843
batch 18500, ctc loss: 1.175185, cer: 0.323883, time/batch:   0.837
batch 18600, ctc loss: 1.169805, cer: 0.323429, time/batch:   0.845
