batchnum,loss,cer,time
batch 100, ctc loss: 3.020401, cer: 1.000000, time/batch:   0.742
batch 200, ctc loss: 2.862114, cer: 0.992448, time/batch:   0.747
batch 300, ctc loss: 2.767204, cer: 0.806529, time/batch:   0.755
batch 400, ctc loss: 2.478298, cer: 0.686393, time/batch:   0.755
batch 500, ctc loss: 2.100757, cer: 0.603318, time/batch:   0.752
batch 600, ctc loss: 1.896669, cer: 0.539515, time/batch:   0.748
batch 700, ctc loss: 1.746923, cer: 0.492138, time/batch:   0.757
batch 800, ctc loss: 1.625583, cer: 0.459205, time/batch:   0.744
batch 900, ctc loss: 1.527537, cer: 0.426767, time/batch:   0.759
batch 1000, ctc loss: 1.451714, cer: 0.412282, time/batch:   0.749
batch 1100, ctc loss: 1.374191, cer: 0.392596, time/batch:   0.729
batch 1200, ctc loss: 1.324044, cer: 0.382527, time/batch:   0.742
batch 1300, ctc loss: 1.283417, cer: 0.370146, time/batch:   0.749
batch 1400, ctc loss: 1.234061, cer: 0.351038, time/batch:   0.743
batch 1500, ctc loss: 1.195262, cer: 0.351286, time/batch:   0.735
batch 1600, ctc loss: 1.172350, cer: 0.336841, time/batch:   0.743
batch 1700, ctc loss: 1.141848, cer: 0.329578, time/batch:   0.757
batch 1800, ctc loss: 1.115468, cer: 0.323759, time/batch:   0.735
batch 1900, ctc loss: 1.096483, cer: 0.319426, time/batch:   0.766
batch 2000, ctc loss: 1.077567, cer: 0.311749, time/batch:   0.765
batch 2100, ctc loss: 1.063019, cer: 0.306302, time/batch:   0.761
batch 2200, ctc loss: 1.048631, cer: 0.303537, time/batch:   0.771
batch 2300, ctc loss: 1.026989, cer: 0.299946, time/batch:   0.768
batch 2400, ctc loss: 1.017237, cer: 0.292765, time/batch:   0.753
batch 2500, ctc loss: 1.019089, cer: 0.292023, time/batch:   0.761
batch 2600, ctc loss: 1.000375, cer: 0.288185, time/batch:   0.757
batch 2700, ctc loss: 0.986263, cer: 0.286781, time/batch:   0.745
batch 2800, ctc loss: 0.994558, cer: 0.284058, time/batch:   0.746
batch 2900, ctc loss: 0.979611, cer: 0.285131, time/batch:   0.757
batch 3000, ctc loss: 0.973784, cer: 0.280178, time/batch:   0.746
batch 3100, ctc loss: 0.958521, cer: 0.276175, time/batch:   0.744
batch 3200, ctc loss: 0.942565, cer: 0.273369, time/batch:   0.744
batch 3300, ctc loss: 0.942945, cer: 0.272750, time/batch:   0.761
batch 3400, ctc loss: 0.952154, cer: 0.273410, time/batch:   0.766
batch 3500, ctc loss: 0.943276, cer: 0.269613, time/batch:   0.734
batch 3600, ctc loss: 0.932661, cer: 0.268747, time/batch:   0.759
batch 3700, ctc loss: 0.937757, cer: 0.267880, time/batch:   0.732
batch 3800, ctc loss: 0.928229, cer: 0.264744, time/batch:   0.733
batch 3900, ctc loss: 0.920251, cer: 0.263629, time/batch:   0.737
batch 4000, ctc loss: 0.922352, cer: 0.261566, time/batch:   0.752
batch 4100, ctc loss: 0.917705, cer: 0.260947, time/batch:   0.763
batch 4200, ctc loss: 0.929441, cer: 0.262474, time/batch:   0.752
batch 4300, ctc loss: 0.914917, cer: 0.259213, time/batch:   0.763
batch 4400, ctc loss: 0.907070, cer: 0.258471, time/batch:   0.759
batch 4500, ctc loss: 0.907550, cer: 0.258140, time/batch:   0.742
batch 4600, ctc loss: 0.909720, cer: 0.259502, time/batch:   0.752
batch 4700, ctc loss: 0.903046, cer: 0.256613, time/batch:   0.769
batch 4800, ctc loss: 0.906573, cer: 0.253972, time/batch:   0.744
batch 4900, ctc loss: 0.907284, cer: 0.253064, time/batch:   0.757
batch 5000, ctc loss: 0.897154, cer: 0.252280, time/batch:   0.754
batch 5100, ctc loss: 0.901884, cer: 0.253518, time/batch:   0.745
batch 5200, ctc loss: 0.900873, cer: 0.251620, time/batch:   0.746
batch 5300, ctc loss: 0.899841, cer: 0.249515, time/batch:   0.738
batch 5400, ctc loss: 0.910250, cer: 0.251413, time/batch:   0.747
