batchnum,loss,cer,time
batch 0, ctc loss: 6.276773, cer: 1.000000, time/batch:   0.030
batch 100, ctc loss: 2.944485, cer: 0.997441, time/batch:   0.699
batch 200, ctc loss: 2.539513, cer: 0.766828, time/batch:   0.745
batch 300, ctc loss: 2.173805, cer: 0.618216, time/batch:   0.747
batch 400, ctc loss: 1.958814, cer: 0.558953, time/batch:   0.741
batch 500, ctc loss: 1.782492, cer: 0.502208, time/batch:   0.739
batch 600, ctc loss: 1.653477, cer: 0.474227, time/batch:   0.734
batch 700, ctc loss: 1.544030, cer: 0.435434, time/batch:   0.747
batch 800, ctc loss: 1.456685, cer: 0.416285, time/batch:   0.732
batch 900, ctc loss: 1.383863, cer: 0.389584, time/batch:   0.748
batch 1000, ctc loss: 1.320899, cer: 0.375428, time/batch:   0.739
batch 1100, ctc loss: 1.272508, cer: 0.360736, time/batch:   0.718
batch 1200, ctc loss: 1.224188, cer: 0.350625, time/batch:   0.732
batch 1300, ctc loss: 1.192858, cer: 0.343733, time/batch:   0.738
batch 1400, ctc loss: 1.155369, cer: 0.329949, time/batch:   0.731
batch 1500, ctc loss: 1.126856, cer: 0.328876, time/batch:   0.724
batch 1600, ctc loss: 1.102653, cer: 0.316413, time/batch:   0.736
batch 1700, ctc loss: 1.083229, cer: 0.311130, time/batch:   0.744
batch 1800, ctc loss: 1.060523, cer: 0.308778, time/batch:   0.727
batch 1900, ctc loss: 1.049584, cer: 0.299162, time/batch:   0.754
batch 2000, ctc loss: 1.022409, cer: 0.296892, time/batch:   0.756
batch 2100, ctc loss: 1.018115, cer: 0.290867, time/batch:   0.751
batch 2200, ctc loss: 1.001242, cer: 0.287153, time/batch:   0.761
batch 2300, ctc loss: 0.984459, cer: 0.284553, time/batch:   0.757
batch 2400, ctc loss: 0.979941, cer: 0.282283, time/batch:   0.743
batch 2500, ctc loss: 0.970459, cer: 0.279270, time/batch:   0.751
batch 2600, ctc loss: 0.964777, cer: 0.276835, time/batch:   0.745
batch 2700, ctc loss: 0.961662, cer: 0.273616, time/batch:   0.734
batch 2800, ctc loss: 0.956757, cer: 0.271966, time/batch:   0.735
batch 2900, ctc loss: 0.946600, cer: 0.271264, time/batch:   0.745
batch 3000, ctc loss: 0.939949, cer: 0.264166, time/batch:   0.738
batch 3100, ctc loss: 0.950271, cer: 0.268747, time/batch:   0.733
batch 3200, ctc loss: 0.931936, cer: 0.264496, time/batch:   0.731
batch 3300, ctc loss: 0.928037, cer: 0.265528, time/batch:   0.747
batch 3400, ctc loss: 0.925892, cer: 0.258305, time/batch:   0.752
batch 3500, ctc loss: 0.942531, cer: 0.262350, time/batch:   0.725
batch 3600, ctc loss: 0.925873, cer: 0.256531, time/batch:   0.747
batch 3700, ctc loss: 0.927016, cer: 0.255664, time/batch:   0.722
batch 3800, ctc loss: 0.920843, cer: 0.255210, time/batch:   0.724
batch 3900, ctc loss: 0.932772, cer: 0.257274, time/batch:   0.728
batch 4000, ctc loss: 0.930595, cer: 0.252652, time/batch:   0.738
batch 4100, ctc loss: 0.924220, cer: 0.253436, time/batch:   0.752
batch 4200, ctc loss: 0.936972, cer: 0.250134, time/batch:   0.739
