batchnum,loss,cer,time
batch 0, ctc loss: 6.276773, cer: 1.000000, time/batch:   0.029
batch 100, ctc loss: 2.944482, cer: 0.999463, time/batch:   0.761
batch 200, ctc loss: 2.557134, cer: 0.768932, time/batch:   0.750
batch 300, ctc loss: 2.175811, cer: 0.626264, time/batch:   0.746
batch 400, ctc loss: 1.956183, cer: 0.557509, time/batch:   0.759
batch 500, ctc loss: 1.783438, cer: 0.500144, time/batch:   0.766
batch 600, ctc loss: 1.653669, cer: 0.465065, time/batch:   0.744
batch 700, ctc loss: 1.548882, cer: 0.435970, time/batch:   0.766
batch 800, ctc loss: 1.461654, cer: 0.417275, time/batch:   0.766
batch 900, ctc loss: 1.384389, cer: 0.389171, time/batch:   0.755
batch 1000, ctc loss: 1.331919, cer: 0.379225, time/batch:   0.759
batch 1100, ctc loss: 1.271381, cer: 0.360736, time/batch:   0.744
batch 1200, ctc loss: 1.229046, cer: 0.350460, time/batch:   0.755
batch 1300, ctc loss: 1.178803, cer: 0.336511, time/batch:   0.762
batch 1400, ctc loss: 1.152173, cer: 0.331270, time/batch:   0.749
batch 1500, ctc loss: 1.115813, cer: 0.324584, time/batch:   0.758
batch 1600, ctc loss: 1.100343, cer: 0.317857, time/batch:   0.764
batch 1700, ctc loss: 1.078419, cer: 0.310305, time/batch:   0.742
batch 1800, ctc loss: 1.053388, cer: 0.304940, time/batch:   0.757
batch 1900, ctc loss: 1.034686, cer: 0.301597, time/batch:   0.756
batch 2000, ctc loss: 1.020157, cer: 0.296892, time/batch:   0.765
batch 2100, ctc loss: 1.022420, cer: 0.292889, time/batch:   0.767
batch 2200, ctc loss: 1.003160, cer: 0.289216, time/batch:   0.750
batch 2300, ctc loss: 0.994814, cer: 0.285543, time/batch:   0.760
batch 2400, ctc loss: 0.978113, cer: 0.279889, time/batch:   0.758
batch 2500, ctc loss: 0.977665, cer: 0.277991, time/batch:   0.755
batch 2600, ctc loss: 0.968349, cer: 0.275061, time/batch:   0.749
batch 2700, ctc loss: 0.956647, cer: 0.271058, time/batch:   0.766
batch 2800, ctc loss: 0.959359, cer: 0.272543, time/batch:   0.736
batch 2900, ctc loss: 0.945211, cer: 0.267963, time/batch:   0.755
batch 3000, ctc loss: 0.949530, cer: 0.266394, time/batch:   0.765
batch 3100, ctc loss: 0.939695, cer: 0.265486, time/batch:   0.741
batch 3200, ctc loss: 0.948361, cer: 0.264083, time/batch:   0.748
batch 3300, ctc loss: 0.927245, cer: 0.258471, time/batch:   0.741
batch 3400, ctc loss: 0.933683, cer: 0.258305, time/batch:   0.767
batch 3500, ctc loss: 0.918152, cer: 0.260493, time/batch:   0.753
batch 3600, ctc loss: 0.917384, cer: 0.253848, time/batch:   0.742
batch 3700, ctc loss: 0.913198, cer: 0.254055, time/batch:   0.754
batch 3800, ctc loss: 0.918055, cer: 0.252652, time/batch:   0.773
batch 3900, ctc loss: 0.925867, cer: 0.252486, time/batch:   0.754
batch 4000, ctc loss: 0.920854, cer: 0.253972, time/batch:   0.761
batch 4100, ctc loss: 0.928683, cer: 0.250836, time/batch:   0.762
batch 4200, ctc loss: 0.925115, cer: 0.250217, time/batch:   0.758
batch 4300, ctc loss: 0.925525, cer: 0.249350, time/batch:   0.755
batch 4400, ctc loss: 0.922947, cer: 0.249680, time/batch:   0.774
batch 4500, ctc loss: 0.920738, cer: 0.251290, time/batch:   0.752
batch 4600, ctc loss: 0.919428, cer: 0.252156, time/batch:   0.745
batch 4700, ctc loss: 0.930748, cer: 0.248566, time/batch:   0.754
batch 4800, ctc loss: 0.915566, cer: 0.244068, time/batch:   0.760
batch 4900, ctc loss: 0.920795, cer: 0.243985, time/batch:   0.764
batch 5000, ctc loss: 0.918410, cer: 0.243614, time/batch:   0.751
batch 5100, ctc loss: 0.924467, cer: 0.248690, time/batch:   0.765
batch 5200, ctc loss: 0.925169, cer: 0.244810, time/batch:   0.745
batch 5300, ctc loss: 0.925694, cer: 0.245594, time/batch:   0.770
batch 5400, ctc loss: 0.919106, cer: 0.243861, time/batch:   0.754
batch 5500, ctc loss: 0.926207, cer: 0.244852, time/batch:   0.757
batch 5600, ctc loss: 0.921921, cer: 0.244728, time/batch:   0.779
batch 5700, ctc loss: 0.930514, cer: 0.242706, time/batch:   0.748
batch 5800, ctc loss: 0.927461, cer: 0.242417, time/batch:   0.774
batch 5900, ctc loss: 0.932822, cer: 0.241261, time/batch:   0.740
batch 6000, ctc loss: 0.927664, cer: 0.240271, time/batch:   0.755
batch 6100, ctc loss: 0.925100, cer: 0.238826, time/batch:   0.761
batch 6200, ctc loss: 0.933876, cer: 0.239363, time/batch:   0.748
batch 6300, ctc loss: 0.940411, cer: 0.241137, time/batch:   0.738
batch 6400, ctc loss: 0.943386, cer: 0.241261, time/batch:   0.767
batch 6500, ctc loss: 0.948638, cer: 0.240477, time/batch:   0.754
batch 6600, ctc loss: 0.942255, cer: 0.239652, time/batch:   0.750
batch 6700, ctc loss: 0.952258, cer: 0.242169, time/batch:   0.753
batch 6800, ctc loss: 0.950043, cer: 0.241633, time/batch:   0.775
batch 6900, ctc loss: 0.948154, cer: 0.240106, time/batch:   0.752
batch 7000, ctc loss: 0.947033, cer: 0.239693, time/batch:   0.753
batch 7100, ctc loss: 0.953084, cer: 0.241137, time/batch:   0.751
batch 7200, ctc loss: 0.954357, cer: 0.237877, time/batch:   0.744
batch 7300, ctc loss: 0.978721, cer: 0.239528, time/batch:   0.765
batch 7400, ctc loss: 0.953760, cer: 0.238868, time/batch:   0.764
batch 7500, ctc loss: 0.953612, cer: 0.239775, time/batch:   0.764
batch 7600, ctc loss: 0.959933, cer: 0.237795, time/batch:   0.745
batch 7700, ctc loss: 0.960209, cer: 0.237836, time/batch:   0.755
batch 7800, ctc loss: 0.959362, cer: 0.237299, time/batch:   0.734
batch 7900, ctc loss: 0.967883, cer: 0.238496, time/batch:   0.747
batch 8000, ctc loss: 0.971898, cer: 0.239445, time/batch:   0.754
batch 8100, ctc loss: 0.967152, cer: 0.238620, time/batch:   0.767
batch 8200, ctc loss: 0.970089, cer: 0.236680, time/batch:   0.764
batch 8300, ctc loss: 0.973084, cer: 0.239156, time/batch:   0.747
batch 8400, ctc loss: 0.987170, cer: 0.237217, time/batch:   0.757
batch 8500, ctc loss: 0.975970, cer: 0.241220, time/batch:   0.768
batch 8600, ctc loss: 0.971454, cer: 0.236474, time/batch:   0.753
batch 8700, ctc loss: 0.997544, cer: 0.236639, time/batch:   0.765
batch 8800, ctc loss: 1.008974, cer: 0.238496, time/batch:   0.754
batch 8900, ctc loss: 0.998719, cer: 0.237588, time/batch:   0.752
batch 9000, ctc loss: 0.982308, cer: 0.238868, time/batch:   0.765
batch 9100, ctc loss: 1.001188, cer: 0.238001, time/batch:   0.765
batch 9200, ctc loss: 0.991292, cer: 0.231687, time/batch:   0.757
batch 9300, ctc loss: 1.008400, cer: 0.236556, time/batch:   0.762
batch 9400, ctc loss: 0.991623, cer: 0.235690, time/batch:   0.751
batch 9500, ctc loss: 0.984848, cer: 0.233503, time/batch:   0.753
batch 9600, ctc loss: 1.008107, cer: 0.235731, time/batch:   0.764
batch 9700, ctc loss: 1.002796, cer: 0.236887, time/batch:   0.754
batch 9800, ctc loss: 0.996359, cer: 0.234410, time/batch:   0.767
batch 9900, ctc loss: 1.002530, cer: 0.235401, time/batch:   0.762
batch 10000, ctc loss: 0.992751, cer: 0.234493, time/batch:   0.753
batch 10100, ctc loss: 1.012367, cer: 0.238537, time/batch:   0.758
batch 10200, ctc loss: 1.008923, cer: 0.239775, time/batch:   0.754
batch 10300, ctc loss: 1.009618, cer: 0.234782, time/batch:   0.764
batch 10400, ctc loss: 1.023095, cer: 0.237836, time/batch:   0.752
batch 10500, ctc loss: 1.017112, cer: 0.237258, time/batch:   0.742
batch 10600, ctc loss: 1.024364, cer: 0.237712, time/batch:   0.751
batch 10700, ctc loss: 1.027329, cer: 0.236020, time/batch:   0.763
batch 10800, ctc loss: 1.027518, cer: 0.236598, time/batch:   0.756
batch 10900, ctc loss: 1.020513, cer: 0.234452, time/batch:   0.750
batch 11000, ctc loss: 1.028725, cer: 0.234287, time/batch:   0.753
batch 11100, ctc loss: 1.034725, cer: 0.236680, time/batch:   0.759
batch 11200, ctc loss: 1.026537, cer: 0.235525, time/batch:   0.743
batch 11300, ctc loss: 1.045438, cer: 0.236103, time/batch:   0.739
batch 11400, ctc loss: 1.026967, cer: 0.236433, time/batch:   0.739
batch 11500, ctc loss: 1.037811, cer: 0.234576, time/batch:   0.769
batch 11600, ctc loss: 1.033999, cer: 0.234369, time/batch:   0.757
batch 11700, ctc loss: 1.034147, cer: 0.236061, time/batch:   0.747
batch 11800, ctc loss: 1.054214, cer: 0.234947, time/batch:   0.752
batch 11900, ctc loss: 1.048133, cer: 0.237093, time/batch:   0.754
batch 12000, ctc loss: 1.043838, cer: 0.233090, time/batch:   0.759
batch 12100, ctc loss: 1.039907, cer: 0.235607, time/batch:   0.749
batch 12200, ctc loss: 1.048159, cer: 0.232677, time/batch:   0.763
batch 12300, ctc loss: 1.043777, cer: 0.234452, time/batch:   0.743
