batchnum,loss,cer,time
batch 0, ctc loss: 6.276773, cer: 1.000000, time/batch:   0.032
batch 100, ctc loss: 2.944734, cer: 0.999670, time/batch:   0.751
batch 200, ctc loss: 2.556853, cer: 0.768313, time/batch:   0.748
batch 300, ctc loss: 2.178487, cer: 0.634476, time/batch:   0.745
batch 400, ctc loss: 1.958674, cer: 0.556353, time/batch:   0.757
batch 500, ctc loss: 1.785059, cer: 0.498700, time/batch:   0.764
batch 600, ctc loss: 1.654717, cer: 0.467418, time/batch:   0.740
batch 700, ctc loss: 1.552595, cer: 0.440345, time/batch:   0.765
batch 800, ctc loss: 1.462757, cer: 0.414758, time/batch:   0.763
batch 900, ctc loss: 1.386518, cer: 0.388304, time/batch:   0.754
batch 1000, ctc loss: 1.321549, cer: 0.375800, time/batch:   0.754
batch 1100, ctc loss: 1.274126, cer: 0.362841, time/batch:   0.741
batch 1200, ctc loss: 1.229022, cer: 0.353968, time/batch:   0.753
batch 1300, ctc loss: 1.181881, cer: 0.338987, time/batch:   0.759
batch 1400, ctc loss: 1.155957, cer: 0.333003, time/batch:   0.746
batch 1500, ctc loss: 1.120621, cer: 0.325575, time/batch:   0.757
batch 1600, ctc loss: 1.100752, cer: 0.321819, time/batch:   0.761
batch 1700, ctc loss: 1.076891, cer: 0.313607, time/batch:   0.739
batch 1800, ctc loss: 1.055977, cer: 0.303083, time/batch:   0.754
batch 1900, ctc loss: 1.045209, cer: 0.303289, time/batch:   0.752
batch 2000, ctc loss: 1.028595, cer: 0.297346, time/batch:   0.759
batch 2100, ctc loss: 1.019116, cer: 0.297718, time/batch:   0.764
batch 2200, ctc loss: 1.005353, cer: 0.290042, time/batch:   0.744
batch 2300, ctc loss: 0.992867, cer: 0.286369, time/batch:   0.757
batch 2400, ctc loss: 0.984989, cer: 0.281829, time/batch:   0.756
batch 2500, ctc loss: 0.969494, cer: 0.279601, time/batch:   0.753
batch 2600, ctc loss: 0.968454, cer: 0.278528, time/batch:   0.745
batch 2700, ctc loss: 0.957745, cer: 0.277083, time/batch:   0.764
batch 2800, ctc loss: 0.963350, cer: 0.273616, time/batch:   0.734
batch 2900, ctc loss: 0.947827, cer: 0.273121, time/batch:   0.754
batch 3000, ctc loss: 0.947625, cer: 0.269159, time/batch:   0.761
batch 3100, ctc loss: 0.941354, cer: 0.268251, time/batch:   0.739
batch 3200, ctc loss: 0.943938, cer: 0.263836, time/batch:   0.746
batch 3300, ctc loss: 0.933043, cer: 0.265280, time/batch:   0.737
batch 3400, ctc loss: 0.936954, cer: 0.261896, time/batch:   0.762
batch 3500, ctc loss: 0.928450, cer: 0.260905, time/batch:   0.751
batch 3600, ctc loss: 0.935866, cer: 0.259956, time/batch:   0.743
batch 3700, ctc loss: 0.926618, cer: 0.258347, time/batch:   0.751
batch 3800, ctc loss: 0.919324, cer: 0.255293, time/batch:   0.772
batch 3900, ctc loss: 0.919718, cer: 0.255293, time/batch:   0.752
batch 4000, ctc loss: 0.915496, cer: 0.255375, time/batch:   0.754
batch 4100, ctc loss: 0.923646, cer: 0.254302, time/batch:   0.761
batch 4200, ctc loss: 0.914256, cer: 0.253394, time/batch:   0.755
batch 4300, ctc loss: 0.919215, cer: 0.251620, time/batch:   0.754
batch 4400, ctc loss: 0.925922, cer: 0.253271, time/batch:   0.770
batch 4500, ctc loss: 0.914433, cer: 0.249474, time/batch:   0.752
batch 4600, ctc loss: 0.924723, cer: 0.246874, time/batch:   0.743
batch 4700, ctc loss: 0.917304, cer: 0.248648, time/batch:   0.755
batch 4800, ctc loss: 0.926542, cer: 0.248401, time/batch:   0.755
batch 4900, ctc loss: 0.927690, cer: 0.247534, time/batch:   0.760
batch 5000, ctc loss: 0.923884, cer: 0.244975, time/batch:   0.748
batch 5100, ctc loss: 0.917765, cer: 0.247410, time/batch:   0.761
