batchnum,loss,cer,time
batch 0, ctc loss: 6.276773, cer: 1.000000, time/batch:   0.030
batch 100, ctc loss: 2.942801, cer: 0.999587, time/batch:   0.745
batch 200, ctc loss: 2.553677, cer: 0.767983, time/batch:   0.744
batch 300, ctc loss: 2.173447, cer: 0.631340, time/batch:   0.743
batch 400, ctc loss: 1.954584, cer: 0.552639, time/batch:   0.758
batch 500, ctc loss: 1.787441, cer: 0.498741, time/batch:   0.764
batch 600, ctc loss: 1.648644, cer: 0.462878, time/batch:   0.739
batch 700, ctc loss: 1.547426, cer: 0.432380, time/batch:   0.765
batch 800, ctc loss: 1.458960, cer: 0.408279, time/batch:   0.761
batch 900, ctc loss: 1.386079, cer: 0.390285, time/batch:   0.753
batch 1000, ctc loss: 1.322563, cer: 0.376955, time/batch:   0.754
batch 1100, ctc loss: 1.263588, cer: 0.359416, time/batch:   0.740
batch 1200, ctc loss: 1.221700, cer: 0.351038, time/batch:   0.755
batch 1300, ctc loss: 1.180088, cer: 0.339648, time/batch:   0.760
batch 1400, ctc loss: 1.152843, cer: 0.332549, time/batch:   0.746
batch 1500, ctc loss: 1.114631, cer: 0.326152, time/batch:   0.755
batch 1600, ctc loss: 1.103062, cer: 0.318889, time/batch:   0.760
batch 1700, ctc loss: 1.072582, cer: 0.313937, time/batch:   0.739
batch 1800, ctc loss: 1.054105, cer: 0.306013, time/batch:   0.753
batch 1900, ctc loss: 1.038164, cer: 0.301267, time/batch:   0.752
batch 2000, ctc loss: 1.023547, cer: 0.296438, time/batch:   0.763
batch 2100, ctc loss: 1.017241, cer: 0.295365, time/batch:   0.764
batch 2200, ctc loss: 1.000151, cer: 0.287854, time/batch:   0.747
batch 2300, ctc loss: 0.987336, cer: 0.281994, time/batch:   0.758
batch 2400, ctc loss: 0.979265, cer: 0.281416, time/batch:   0.755
batch 2500, ctc loss: 0.966593, cer: 0.277496, time/batch:   0.755
batch 2600, ctc loss: 0.971400, cer: 0.277124, time/batch:   0.746
batch 2700, ctc loss: 0.965481, cer: 0.272956, time/batch:   0.763
batch 2800, ctc loss: 0.971768, cer: 0.272007, time/batch:   0.734
batch 2900, ctc loss: 0.951850, cer: 0.268994, time/batch:   0.753
batch 3000, ctc loss: 0.945592, cer: 0.267963, time/batch:   0.761
batch 3100, ctc loss: 0.947577, cer: 0.266477, time/batch:   0.739
batch 3200, ctc loss: 0.950982, cer: 0.264950, time/batch:   0.744
batch 3300, ctc loss: 0.931871, cer: 0.263010, time/batch:   0.738
batch 3400, ctc loss: 0.939590, cer: 0.261607, time/batch:   0.765
batch 3500, ctc loss: 0.933874, cer: 0.260493, time/batch:   0.752
batch 3600, ctc loss: 0.937606, cer: 0.258264, time/batch:   0.743
batch 3700, ctc loss: 0.921868, cer: 0.257439, time/batch:   0.750
batch 3800, ctc loss: 0.931977, cer: 0.258594, time/batch:   0.772
batch 3900, ctc loss: 0.933507, cer: 0.257356, time/batch:   0.750
batch 4000, ctc loss: 0.924980, cer: 0.254509, time/batch:   0.755
batch 4100, ctc loss: 0.933971, cer: 0.254055, time/batch:   0.762
batch 4200, ctc loss: 0.926296, cer: 0.252693, time/batch:   0.755
batch 4300, ctc loss: 0.921449, cer: 0.250340, time/batch:   0.752
batch 4400, ctc loss: 0.933049, cer: 0.251207, time/batch:   0.769
batch 4500, ctc loss: 0.925276, cer: 0.250382, time/batch:   0.750
batch 4600, ctc loss: 0.930869, cer: 0.251413, time/batch:   0.741
batch 4700, ctc loss: 0.936990, cer: 0.248690, time/batch:   0.752
batch 4800, ctc loss: 0.916776, cer: 0.249020, time/batch:   0.758
batch 4900, ctc loss: 0.927370, cer: 0.251826, time/batch:   0.760
batch 5000, ctc loss: 0.938591, cer: 0.248277, time/batch:   0.747
